MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
105,0,298.12,105
133,0,332.13,133
161,0.35,50.9,161
189,0.44,52.84,189
213,0.35,55.48,213
246,1.55,30.64,245.99
286,3.26,11.43,285.96
314,4.41,13.01,313.9
343,5.9,14.07,342.78
372,6.43,14.78,371.61
399,6.96,14.95,398.43
427,7.14,11.78,426.22
455,7.4,11.43,453.99
483,7.49,10.55,481.75
511,7.75,11.43,509.51
539,7.22,11.25,537.27
555,7.34,12.52,553.14
583,7.31,10.55,580.91
612,7.06,8.65,609.68
640,6.84,9.3,637.48
668,6.77,10.94,665.28
696,6.47,11.69,693.09
725,6.55,10.48,721.91
753,6.44,10.8,749.73
782,6.09,11.87,778.55
811,5.61,13.03,807.4
839,5.13,14.31,835.28
867,4.7,12.02,863.18
895,4.81,11.19,891.08
923,5.09,11.52,918.98
951,5.62,12.21,946.85
979,5.08,15.06,974.73
1007,4.81,17.17,1002.63
1036,5.73,14.65,1031.5
1065,5.44,14.99,1060.37
1108,4.49,13.84,1103.21
1137,5.41,6.02,1132.1
1165,6.02,5.88,1159.96
1193,7.65,11.46,1187.76
1222,9.43,16.2,1216.44
1250,10.91,18.05,1244
1279,13.14,21.27,1272.36
1306,14.52,22.52,1298.58
1334,16.48,24.73,1325.56
1363,18.98,25.74,1353.18
1391,21.23,27.02,1379.48
1416,22.94,27.6,1402.64
1451,22.54,28.73,1434.92
1480,23.33,26.99,1461.63
1508,23.01,27.39,1487.37
1536,25.54,27.61,1512.9
1564,28.13,27.49,1537.88
1592,30.49,27.43,1562.3
1621,32.97,27.59,1586.96
1650,35.64,28.48,1610.92
1677,37.86,27.91,1632.55
1705,40.14,27.38,1654.31
1733,42.82,27.22,1675.29
1761,44.95,26.66,1695.47
1790,47.01,26.64,1715.62
1819,49.13,27.15,1735
1847,49.29,26.49,1753.29
1875,49.01,26.48,1771.61
1903,48.65,26.66,1790.04
1932,49.04,26.61,1809.12
1960,48.88,26.7,1827.51
1988,48.75,26.36,1845.94
2016,49.09,26.55,1864.34
2045,48.94,26.35,1883.36
2073,49.13,26.74,1901.72
2101,49.34,27.47,1920
2130,49.8,27.33,1938.81
2157,49.73,27.63,1956.25
2186,49.99,27.74,1974.95
2214,50.46,27.6,1992.86
2243,50.82,27.47,2011.25
2272,51.12,27.59,2029.51
2300,51.54,27.56,2047.01
2328,51.79,27.97,2064.38
2357,52.48,27.67,2082.18
2385,52.45,27.44,2099.23
2413,52.67,26.97,2116.26
2441,53.34,26.96,2133.11
2469,53.59,26.57,2149.77
2498,53.63,26.61,2166.98
2526,54.03,27,2183.5
2555,53.72,28.44,2200.6
2583,54.11,29.31,2217.09
2611,54.29,33.53,2233.47
2639,54.4,37.74,2249.79
2667,54.09,42.12,2266.15
2695,54.37,46.05,2282.52
2724,54.73,50.68,2299.34
2754,55.19,55.53,2316.57
2782,55.82,59.55,2332.42
2802,55.82,59.55,2343.66
