MD,INC,AZ,TVD
m,deg,deg,m
0,0,0,0
30.42,0.16,154.22,30.42
57.58,0.15,130.31,57.58
85.15,0.17,114.38,85.15
112.33,0.2,97.08,112.33
141.11,0.29,83.96,141.11
169.8,0.39,73.47,169.8
198.58,0.56,58.08,198.58
227.49,1.03,36.94,227.49
256.47,1.78,24.82,256.46
285.48,2.65,14.78,285.44
314.38,3.69,15.46,314.3
343.29,5.19,15.49,343.12
372.2,6.2,16.7,371.89
400.87,6.49,13.47,400.38
429.67,6.95,12.17,428.99
458.49,7.12,12.51,457.59
487.33,7.25,11.8,486.2
516.17,7.17,12.28,514.81
545.06,6.95,13.18,543.49
573.84,6.96,12.53,572.05
602.88,6.92,11.7,600.88
631.82,6.54,8.14,629.62
660.71,6.45,9.23,658.33
689.76,6.26,9.24,687.2
718.87,6.17,10.14,716.14
748.11,6.02,9.69,745.21
777.46,5.88,10.08,774.4
806.35,5.55,11.24,803.15
835.3,4.94,11.9,831.98
864.18,4.65,10.93,860.76
893.2,4.7,10.53,889.68
922.09,4.98,10.23,918.47
950.87,5.2,11.25,947.13
979.58,4.85,15.82,975.73
1008.35,4.74,17.01,1004.4
1037.13,5.19,15.34,1033.07
1065.87,4.94,13.76,1061.7
1094.63,4.6,14.28,1090.36
1123.43,4.85,12.04,1119.06
1152.08,5.47,6.72,1147.6
1180.75,6.5,8.94,1176.11
1209.53,8.46,15.5,1204.65
1238.22,9.94,18.31,1232.97
1266.83,12.08,20.06,1261.05
1295.53,13.85,22.06,1289.02
1324.23,15.56,23.8,1316.77
1353.12,17.84,25.36,1344.44
1381.83,20.27,26.59,1371.58
1410.51,22.37,27.41,1398.3
1439.13,19.42,31.68,1425.03
1467.84,19.17,32.92,1452.13
1496.47,19.78,33.22,1479.12
1525.16,20.84,32.91,1506.03
1553.93,22.92,31.35,1532.72
1582.62,24.56,31.16,1558.98
1611.43,27.61,30.63,1584.86
1640.09,29.66,30.14,1610.01
1668.85,33.08,30.68,1634.56
1697.59,36.5,30.63,1658.16
1726.28,39.59,30.44,1680.75
1755.09,42.55,30.19,1702.47
1784,45.55,30.4,1723.25
1812.76,47.99,30.58,1742.94
1841.45,48.99,30.37,1761.96
1870.24,49.49,30.43,1780.76
1898.89,49.75,30.51,1799.32
1927.68,49.8,30.36,1817.91
1956.39,49.68,30.35,1836.46
1985.09,49.46,30.56,1855.08
2013.91,49.66,30.46,1873.77
2042.62,49.74,30.62,1892.34
2071.34,49.84,30.73,1910.88
2100.14,49.4,30.94,1929.54
2128.97,50.27,30.98,1948.13
2157.68,50.32,30.95,1966.47
2186.34,51.08,30.79,1984.63
2214.99,51.34,30.73,2002.57
2243.75,51.26,30.4,2020.56
2272.47,51.74,29.78,2038.44
2301.15,51.85,29.63,2056.17
2329.79,52.31,29.4,2073.77
2358.38,52.37,29.22,2091.24
2386.92,52.91,29.72,2108.56
2415.42,53.09,29.56,2125.71
2443.88,53.46,29.33,2142.73
2472.95,53.9,29.37,2159.95
2501.04,54.02,29.78,2176.48
2528.98,54.28,30.64,2192.84
2557.18,54.18,31.66,2209.32
2585.15,54.38,34.41,2225.66
2613.32,53.39,37.67,2242.26
2641.45,55.59,39.16,2258.6
2669.57,58.2,40.86,2273.96
2697.55,62.15,41.9,2287.87
2725.69,64.72,42.51,2300.46
2753.76,63.84,44.14,2312.64
2781.84,65.46,47.17,2324.66
2809.55,66.04,50.23,2336.05
2837.65,65.64,53.02,2347.55
2865.61,65.75,56.54,2359.06
2893.93,65.21,60.08,2370.82
2922.18,64.77,63.91,2382.76
2950.37,64.68,68.4,2394.8
2978.94,64.8,72.08,2407
3007.23,65.05,76.36,2418.99
3035.45,65.11,80.08,2430.89
3063.76,65.56,80.02,2442.7
3092.06,66.06,78.22,2454.3
3120.36,65.49,78.17,2465.91
3148.64,65.99,78.5,2477.53
3176.82,65.63,78.72,2489.08
3205.15,65.53,79.44,2500.79
3233.61,64.8,80.06,2512.74
3261.93,65.01,81.04,2524.75
3290.19,65.35,81.82,2536.62
3318.39,65.19,81.67,2548.41
3337.35,65.19,81.83,2556.37
3349.88,65.37,82.47,2561.61
3396,65.37,82.47,2580.8
