MD,INC,AZ,TVD
m,deg,deg,m
600,0.2,25.94376643,599.9965642
605,0.172055879,35.04216195,604.9965379
610,0.15,47.21376643,609.9965182
615,0.159806317,50.21547112,614.9965
620,0.17,52.86376643,619.9964793
625,0.159833402,55.31990307,624.9964586
630,0.15,58.10376643,629.9964403
635,0.139702576,61.58088731,634.9964243
640,0.13,65.59376643,639.9964105
645,0.11998018,66.55167363,644.9963986
650,0.11,67.68376643,649.9963885
655,0.112545964,45.5360302,654.9963793
660,0.13,26.93376643,659.9963683
665,0.124946674,28.54174747,664.9963559
670,0.12,30.28376643,669.9963445
675,0.114954122,31.833313,674.996334
680,0.11,33.52376643,679.9963243
685,0.10997125,34.83376643,684.9963151
690,0.11,36.14376643,689.9963059
695,0.11499858,35.84637504,694.9962963
700,0.12,35.57376643,699.9962857
705,0.103217192,60.53871137,704.9962765
710,0.11,87.95376643,709.9962682
715,0.114374351,81.7076006,714.9962586
720,0.12,75.98376643,719.9962482
725,0.109981856,76.93375609,724.9962381
730,0.1,78.07376643,729.9962297
735,0.119824291,81.74344475,734.9962205
740,0.14,84.36376643,739.9962076
745,0.203464903,74.60563245,744.996185
750,0.27,69.56376643,749.9961421
755,0.279900304,71.14842183,754.9960845
760,0.29,72.62376643,759.9960227
765,0.258299958,66.78864056,764.9959655
770,0.23,59.42376643,769.9959202
775,0.224999832,59.49221088,774.9958808
780,0.22,59.56376643,779.9958431
785,0.211315868,69.93880427,784.9958078
790,0.21,80.81376643,789.9957742
795,0.20451824,84.64776266,794.9957415
800,0.2,88.67376643,799.9957104
805,0.184955209,87.5113502,804.9956822
810,0.17,86.14376643,809.9956582
815,0.144632017,89.57290063,814.9956393
820,0.12,94.43376643,819.995626
825,0.124835179,91.37086293,824.9956145
830,0.13,88.54376643,829.9956022
835,0.104805647,91.27794874,834.9955917
840,0.08,95.72376643,839.9955851
845,0.088467574,107.5763188,844.9955797
850,0.1,117.0337664,849.995573
855,0.092584854,80.84133087,854.9955664
860,0.12,51.36376643,859.9955581
865,0.079497423,55.0606159,864.9955504
870,0.04,66.21376643,869.9955476
875,0.059123785,80.12136617,874.9955458
880,0.08,87.02376643,879.9955421
885,0.099994824,87.73777042,884.9955359
890,0.12,88.21376643,889.9955266
895,0.104816822,91.14462634,894.995517
900,0.09,95.05376643,899.9955097
905,0.089999876,94.95876645,904.9955036
910,0.09,94.86376643,909.9954974
915,0.084979681,96.04493118,914.9954916
920,0.08,97.37376643,919.9954864
925,0.064988966,98.20835357,924.9954824
930,0.05,99.54376643,929.9954799
935,0.044359418,108.1911302,934.9954782
940,0.04,119.0237664,939.9954768
945,0.049998453,119.5757683,944.9954753
950,0.06,119.9437664,949.995473
955,0.0419438,134.6411468,954.995471
960,0.03,165.1337664,959.99547
965,0.033065446,142.9175684,964.9954693
970,0.04,126.4437664,969.9954683
975,0.032557769,144.9442913,974.9954673
980,0.03,169.9737664,979.9954666
985,0.029230406,209.1884099,984.995466
990,0.04,237.4937664,989.9954651
995,0.043215119,219.3384174,994.9954638
1000,0.05,204.9037664,999.9954621
1012.5,0.053405203,189.7259238,1012.495457
1025,0.06,177.1237664,1024.995451
1037.5,0.138012804,158.5082166,1037.495432
1050,0.22,153.5137664,1049.99537
1062.5,0.223055521,145.8052382,1062.495277
1075,0.23,138.4337664,1074.995179
1087.5,0.189999966,138.461398,1087.495095
1100,0.15,138.5037664,1099.99504
1112.5,0.084969435,137.9430268,1112.495013
1125,0.02,133.7337664,1124.995007
1137.5,0.023645219,157.1074557,1137.495006
1150,0.03,172.4437664,1149.995005
1162.5,0.069946702,168.160833,1162.495
1175,0.11,166.9937664,1174.994984
1187.5,0.139941283,138.929357,1187.494955
1200,0.19,123.1237664,1199.994904
1212.5,0.149460291,119.4273355,1212.494848
1225,0.11,113.0337664,1224.994816
1237.5,0.14992659,115.3899273,1237.494784
1250,0.19,116.7537664,1249.994729
1262.5,0.249794207,113.7836542,1262.494636
1275,0.31,111.9637664,1274.994486
1287.5,0.333826819,106.7939744,1287.494289
1300,0.36,102.3437664,1299.99406
1312.5,0.349832201,100.6194963,1312.49382
1325,0.34,98.79376643,1324.993594
1337.5,0.339836862,100.5687664,1337.493374
1350,0.34,102.3437664,1349.993154
1362.5,0.291734431,109.6517477,1362.492964
1375,0.25,119.6137664,1374.992825
1387.5,0.271627591,129.4605448,1387.492696
1400,0.3,137.6537664,1399.992541
1412.5,0.339583841,134.4626136,1412.492346
1425,0.38,131.9437664,1424.992099
1437.5,0.313893395,135.8382205,1437.49187
